id,name,city,rating,rating_count,cost,cuisine,lic_no,link,address,menu
319499,HUNGRY CHANG,"Arekere,Bangalore",3.7,20,280,"Chinese,Pan-Asian",1.12E+13,https://www.swiggy.com/restaurants/hungry-chang-arekere-j-p-nagar-bangalore-319499,"HUNGRY CHANG, 1260, Survey 35/4, SJR Tower's, 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore 560078",Menu/319499.json
49275,Spurthi Foods,"Arekere,Bangalore",4.5,100,300,Andhra,2.12E+13,https://www.swiggy.com/restaurants/spurthi-foods-sagar-layout-devarachikkanahalli-main-road-bda-layout-btm-4th-stage-bangalore-49275,"Spurthi Foods, Address: #23, SVR Avenue, Sagar Layout,  Devarachikkanahalli Main road, Bangalore, 560076.",Menu/49275.json
514485,Miami Shakes & More,"Arekere,Bangalore",4.5,20,200,"Desserts,Beverages",2.12E+13,https://www.swiggy.com/restaurants/miami-shakes-and-more-jp-nagar-bangalore-514485,"Miami Shakes & More, 45 & 46, K No 534 Puttenahalli Blore, Kar, Bangalore South, Bangalore Urban, , Karnataka, 560078",Menu/514485.json
411269,SLV IYENGAR BAKERY,"Arekere,Bangalore",4.3,100,200,"Bakery,Snacks",2.12E+13,https://www.swiggy.com/restaurants/slv-iyengar-bakery-arekere-bangalore-411269,"SLV IYENGAR BAKERY, NO.72, 6TH CROSS, LAKSHMI LAYOUT, SEEKERS, BANGALORE , Bommanahalli , B.B.M.P South, Karnataka - 560076",Menu/411269.json
158834,Breakfast Express,"Arekere,Bangalore",4.1,50,200,"Continental,North Indian",1.12E+13,https://www.swiggy.com/restaurants/breakfast-express-arekere-bangalore-158834,"Breakfast Express, Second floor,Site No 10,BBMP Khata No #7/10/7,Yelanahalli village, Begur hobli,Bangalore south taluka-560068,Land mark-Above Canara bank",Menu/158834.json
447321,Irani Chai Point - DLF,"Arekere,Bangalore",4.1,20,150,Beverages,2.12E+13,https://www.swiggy.com/restaurants/irani-chai-point-dlf-akshaynagar-arekere-bangalore-447321,"Irani Chai Point - DLF,  No. 32, BBMP Limit, YellenahalliVillage, DLF 80ft Main Road BG Road, Opp.to Reliance Smart SuperStore, Begur Hobli, Bengaluru , B.B.M.P 560068",Menu/447321.json
29436,California Burrito,"Arekere,Bangalore",4.3,1,250,"Mexican,American",1.12E+13,https://www.swiggy.com/restaurants/california-burrito-jalaram-estate-arekere-bangalore-29436,"California Burrito, 19, Jalaram Estate, Arekere, Bannerghatta Road, Bengaluru, Karnataka 560076",Menu/29436.json
29671,Natural Ice Cream,"Arekere,Bangalore",4.6,500,150,Ice Cream,1.12E+13,https://www.swiggy.com/restaurants/natural-ice-cream-adjacent-to-adigas-hotel-panduranga-nagar-bangalore-29671,"Natural Ice Cream, #31, Pandurangnagar, 60 Feet Road, Adjacent to Adigas Hotel, Bangalore - 560 076",Menu/29671.json
363418,Shanghai Chef Chinese,"Arekere,Bangalore",4.5,20,300,Chinese,2.12E+13,https://www.swiggy.com/restaurants/shanghai-chef-chinese-puttenhalli-road-jp-nagar-bangalore-363418,"Shanghai Chef Chinese, ajantha komforts 1st floor 45/46 puttenhalli road.",Menu/363418.json
433280,The Baker's Dozen,"Arekere,Bangalore",4.2,50,350,"Bakery,Desserts",1.12E+13,https://www.swiggy.com/restaurants/the-bakers-dozen-arekere-bangalore-433280,"The Baker's Dozen, No. 49, Nyanappa Nahalli Village, 1 Begur Hobli, Bommanahalli , B.B.M.P South, Karnataka, 560076",Menu/433280.json
